,tag,pop,orig_x,orig_y,dest_x,dest_y,leave_time_start,leave_time_end,arrival_time_start,arrival_time_end,take_car,take_transit,take_ondemand,take_walk
24,person24,1.0,-85.27891619781661,34.99612348327199,-85.28996910989726,34.99091219505901,0,0,0,0,True,True,True,True
25,person25,1.0,-85.28397862228113,35.01501874692357,-85.27851491824372,35.04649046336362,0,0,0,0,True,True,True,True
26,person26,1.0,-85.28815037336716,34.995505115532914,-85.31345321259384,35.035082599078564,0,0,0,0,True,True,True,True
27,person27,1.0,-85.28493694590087,35.01540710143115,-85.28975107245454,35.04821233576641,0,0,0,0,True,True,True,True
28,person28,1.0,-85.27892067370747,35.00081863129641,-85.30878567365599,35.03641359342347,0,0,0,0,True,True,True,True
29,person29,1.0,-85.27787240977081,34.998989215963654,-85.30830613977257,35.03372935322246,0,0,0,0,True,True,True,True
30,person30,1.0,-85.27835581711832,34.996556431876975,-85.31435426861684,35.03237227493559,0,0,0,0,True,True,True,True
31,person31,1.0,-85.28475747390625,35.01607723735888,-85.30851691872105,35.03379467822486,0,0,0,0,True,True,True,True
32,person32,1.0,-85.2964046367581,35.01033058517825,-85.30710688278087,35.03563819671571,0,0,0,0,True,True,True,True
33,person33,1.0,-85.28438104742666,35.015951576142605,-85.28195784649428,35.01396576760058,0,0,0,0,True,True,True,True
34,person34,1.0,-85.29031399866018,34.98885729913851,-85.28995406486622,35.04818936297677,0,0,0,0,True,True,True,True
35,person35,1.0,-85.28419626926372,35.0151426343289,-85.29035888985722,35.04895574180636,0,0,0,0,True,True,True,True
36,person36,1.0,-85.28481295081751,35.01567418555043,-85.30881099644932,35.04308715004671,0,0,0,0,True,True,True,True
37,person37,1.0,-85.28064477201582,34.99988253792493,-85.28965553036475,35.04827553591561,0,0,0,0,True,True,True,True
38,person38,1.0,-85.29584721141426,34.988922963935906,-85.28674784769363,35.04658157819592,0,0,0,0,True,True,True,True
39,person39,1.0,-85.28753734075694,34.99847528213145,-85.27913990381552,34.998424735325386,0,0,0,0,True,True,True,True
40,person40,1.0,-85.28773520351395,34.98976114642115,-85.31470890763434,35.03293273880158,0,0,0,0,True,True,True,True
41,person41,1.0,-85.28808433726148,34.99762137270364,-85.31145879753218,35.03751076245282,0,0,0,0,True,True,True,True
42,person42,1.0,-85.28285180545558,35.01408960757983,-85.27826818935392,35.0459276577313,0,0,0,0,True,True,True,True
43,person43,1.0,-85.28985092501928,34.98548708422267,-85.31221137557178,35.03610715727231,0,0,0,0,True,True,True,True
44,person44,1.0,-85.28528294732382,35.01590497633872,-85.28089039743011,35.0550794584338,0,0,0,0,True,True,True,True
45,person45,1.0,-85.2784548160708,35.00125028132399,-85.28361135516548,35.0126256832184,0,0,0,0,True,True,True,True
46,person46,1.0,-85.28777281408426,34.99766338089751,-85.30722372150306,35.03530533750239,0,0,0,0,True,True,True,True
47,person47,1.0,-85.28422112107515,35.01487367504737,-85.31307064644022,35.03435930583342,0,0,0,0,True,True,True,True
48,person48,1.0,-85.29837080879226,35.00833737691274,-85.28034018750041,35.04443747098982,0,0,0,0,True,True,True,True
49,person49,1.0,-85.28258574874539,34.99044838106656,-85.28149192711034,35.00083677757411,0,0,0,0,True,True,True,True
50,person50,1.0,-85.27839693063869,34.99659591941673,-85.31425618118112,35.03318019133548,0,0,0,0,True,True,True,True
51,person51,1.0,-85.28570700439735,35.015365745547,-85.30847910580141,35.034418762499584,0,0,0,0,True,True,True,True
52,person52,1.0,-85.28508532207786,35.01590738441716,-85.2807465798094,35.00722732939235,0,0,0,0,True,True,True,True
53,person53,1.0,-85.28400069800503,35.014890802873914,-85.28305631922935,35.05548526878894,0,0,0,0,True,True,True,True
54,person54,1.0,-85.28749100994098,34.998058183859364,-85.31469084726562,35.03519353495976,0,0,0,0,True,True,True,True
55,person55,1.0,-85.28341077310115,35.01411853294201,-85.30580792002345,35.02966559147429,0,0,0,0,True,True,True,True
56,person56,1.0,-85.2803690786079,34.99362318937922,-85.30345180519699,35.03428660417182,0,0,0,0,True,True,True,True
57,person57,1.0,-85.28995664753603,34.9876737847213,-85.31184731005919,35.03581327356041,0,0,0,0,True,True,True,True
58,person58,1.0,-85.2794002946748,34.99418264766867,-85.28877353636774,35.046644288590585,0,0,0,0,True,True,True,True
59,person59,1.0,-85.2872755186165,34.9986018178058,-85.31188882239876,35.03597382240331,0,0,0,0,True,True,True,True
60,person60,1.0,-85.28837405110018,34.99866847760437,-85.30808983036664,35.035859419354885,0,0,0,0,True,True,True,True
61,person61,1.0,-85.27739072693802,34.99978782370964,-85.31204600153583,35.03517810928238,0,0,0,0,True,True,True,True
62,person62,1.0,-85.29155998915935,34.99230318029739,-85.28376859539853,35.05538056945615,0,0,0,0,True,True,True,True
63,person63,1.0,-85.28287474720125,35.013619835902674,-85.29032233883738,35.0495824179758,0,0,0,0,True,True,True,True
64,person64,1.0,-85.28027600849816,34.99270009133244,-85.28058406169252,35.044472259815485,0,0,0,0,True,True,True,True
65,person65,1.0,-85.29805545083944,35.00609970987883,-85.29019233518046,35.048182797086,0,0,0,0,True,True,True,True
66,person66,1.0,-85.29891469332824,35.004414132264856,-85.2979377987389,35.04702314428922,0,0,0,0,True,True,True,True
67,person67,1.0,-85.28333836438897,35.01360419354046,-85.31718558168777,35.033528585287804,0,0,0,0,True,True,True,True
68,person68,1.0,-85.29853389577906,35.00400106889221,-85.31705355866397,35.032842280648985,0,0,0,0,True,True,True,True
69,person69,1.0,-85.28300016504636,35.01410138605072,-85.29490148158067,35.04633138766255,0,0,0,0,True,True,True,True
70,person70,1.0,-85.28945127141189,34.995232732554406,-85.31482823811396,35.03249860594921,0,0,0,0,True,True,True,True
71,person71,1.0,-85.28235069881444,35.005086999489514,-85.30640574816746,35.035094002748274,0,0,0,0,True,True,True,True
72,person72,1.0,-85.29717062758328,35.007042150405866,-85.30890449981304,35.04317548734862,0,0,0,0,True,True,True,True
73,person73,1.0,-85.28510226530277,35.016105748504344,-85.31368264318168,35.03369570972145,0,0,0,0,True,True,True,True
74,person74,1.0,-85.27881988542418,34.995282994566566,-85.3116063594039,35.03548316829672,0,0,0,0,True,True,True,True
75,person75,1.0,-85.27805833864879,34.99820620769185,-85.30589519576661,35.02953291313031,0,0,0,0,True,True,True,True
76,person76,1.0,-85.29457497988442,35.01315067230674,-85.29146705917826,35.04787607297195,0,0,0,0,True,True,True,True
77,person77,1.0,-85.30999303666717,35.00532162483178,-85.29031909188156,35.0490415203203,0,0,0,0,True,True,True,True
78,person78,1.0,-85.28490235402478,35.015753941262574,-85.29279231985443,35.01527983801973,0,0,0,0,True,True,True,True
79,person79,1.0,-85.28361310452728,35.0142769271459,-85.31140136603526,35.05400267725898,0,0,0,0,True,True,True,True
80,person80,1.0,-85.28480866009392,35.015629281944825,-85.31339890823376,35.033630569177056,0,0,0,0,True,True,True,True
81,person81,1.0,-85.28405355760962,35.01548911945036,-85.28734078163224,35.04928615968992,0,0,0,0,True,True,True,True
82,person82,1.0,-85.31109344195136,35.00544241465085,-85.28984728225137,35.04870796114681,0,0,0,0,True,True,True,True
83,person83,1.0,-85.29481926449698,35.01302347013429,-85.31209026994405,35.03562740878049,0,0,0,0,True,True,True,True
84,person84,1.0,-85.2882255864201,34.99817763133628,-85.30371548786682,35.032319115439186,0,0,0,0,True,True,True,True
85,person85,1.0,-85.29863142441641,35.00839452184499,-85.3089675948995,35.036914484703296,0,0,0,0,True,True,True,True
86,person86,1.0,-85.29867942313777,35.008378516641635,-85.30880149046321,35.03231376411509,0,0,0,0,True,True,True,True
87,person87,1.0,-85.28764373079318,34.99821075940523,-85.30845336655399,35.03682401591681,0,0,0,0,True,True,True,True
88,person88,1.0,-85.28694385629704,34.997603635713446,-85.30780042015478,35.035076965842336,0,0,0,0,True,True,True,True
89,person89,1.0,-85.27839145084744,34.99578074127075,-85.29021987744,34.99102142044276,0,0,0,0,True,True,True,True
90,person90,1.0,-85.29847526223219,35.01927393598377,-85.2902272851643,35.04818351580031,0,0,0,0,True,True,True,True
91,person91,1.0,-85.28398517278619,35.01538573445458,-85.29053886235755,35.04780345799742,0,0,0,0,True,True,True,True
92,person92,1.0,-85.30010340757536,35.03435667650718,-85.29106920929009,35.01708142033445,0,0,0,0,True,True,True,True
93,person93,1.0,-85.28743933089359,34.99880716933472,-85.31263343651779,35.03393050617266,0,0,0,0,True,True,True,True
94,person94,1.0,-85.30939472218257,35.034323640650655,-85.29172346425483,34.995386136399695,0,0,0,0,True,True,True,True
95,person95,1.0,-85.30982763277234,35.00591481679808,-85.28669257073916,35.04814492326675,0,0,0,0,True,True,True,True
96,person96,1.0,-85.28858848908224,34.99560796307927,-85.31682725969718,35.036703944990315,0,0,0,0,True,True,True,True
97,person97,1.0,-85.30969249045837,35.00601569997824,-85.28945858168073,35.04832932515289,0,0,0,0,True,True,True,True
98,person98,1.0,-85.2858974168376,35.01551521661441,-85.31254511820671,35.03561056371793,0,0,0,0,True,True,True,True
99,person99,1.0,-85.2796399206093,34.994592795537685,-85.31220367585004,35.03530718484504,0,0,0,0,True,True,True,True
100,person100,1.0,-85.27678957603072,34.99974425087353,-85.3118513762498,35.035490068810404,0,0,0,0,True,True,True,True
101,person101,1.0,-85.28571323555009,35.01541575261223,-85.3121533853649,35.03554817639722,0,0,0,0,True,True,True,True
102,person102,1.0,-85.29600801091553,35.00431685716104,-85.31749091266957,35.03704768291282,0,0,0,0,True,True,True,True
103,person103,1.0,-85.28517511148729,35.01583865317488,-85.31400699809163,35.0354999660747,0,0,0,0,True,True,True,True
104,person104,1.0,-85.2847599864384,35.01437663692778,-85.27746622683573,35.01128275022052,0,0,0,0,True,True,True,True
105,person105,1.0,-85.28438252380806,35.0150805684553,-85.28997754882056,35.04832204002378,0,0,0,0,True,True,True,True
106,person106,1.0,-85.28445644247422,35.014981899152446,-85.2947947378598,35.05060495468023,0,0,0,0,True,True,True,True
107,person107,1.0,-85.2872135450197,34.99724278012523,-85.31445502263567,35.035387537951074,0,0,0,0,True,True,True,True
108,person108,1.0,-85.27971518219506,34.99421108190606,-85.30957899768262,35.049304284464384,0,0,0,0,True,True,True,True
109,person109,1.0,-85.28455212952481,35.01602866994962,-85.28969429072727,35.04828069292504,0,0,0,0,True,True,True,True
110,person110,1.0,-85.2881812357899,34.99827037267157,-85.2818409229795,35.039283165786784,0,0,0,0,True,True,True,True
111,person111,1.0,-85.28356232421451,35.01504577019632,-85.27739894470996,35.04483589104261,0,0,0,0,True,True,True,True
112,person112,1.0,-85.29449304728881,35.01306385463949,-85.29130128867446,35.047351252233426,0,0,0,0,True,True,True,True
113,person113,1.0,-85.28699966231868,34.989634948064754,-85.28386038583564,34.997360397524254,0,0,0,0,True,True,True,True
114,person114,1.0,-85.311894498447,35.00716664708121,-85.30572714273117,35.035970434758156,0,0,0,0,True,True,True,True
115,person115,1.0,-85.28158459217242,35.005031769878826,-85.28949751487404,35.04875174015351,0,0,0,0,True,True,True,True
116,person116,1.0,-85.29903565932443,35.019518360884646,-85.29372459822982,35.008714893854,0,0,0,0,True,True,True,True
117,person117,1.0,-85.28290319195243,35.01389976529285,-85.29055970642808,35.04812274655542,0,0,0,0,True,True,True,True
118,person118,1.0,-85.28503689632024,35.01614873811757,-85.28960155124638,35.04895838270628,0,0,0,0,True,True,True,True
119,person119,1.0,-85.29625969676806,35.01030648387968,-85.30719435208671,35.035365105012765,0,0,0,0,True,True,True,True
120,person120,1.0,-85.28324760465776,35.01419028356061,-85.30898430715192,35.035931936215114,0,0,0,0,True,True,True,True
121,person121,1.0,-85.29023696134037,34.987011724214746,-85.31194384239777,35.03600340904509,0,0,0,0,True,True,True,True
122,person122,1.0,-85.31181398851788,35.007987826732304,-85.31722612928534,35.03738681082724,0,0,0,0,True,True,True,True
123,person123,1.0,-85.28472779394376,35.01597642859078,-85.29090384328968,35.048093612206465,0,0,0,0,True,True,True,True
124,person124,1.0,-85.28554004203905,35.01595291520933,-85.30754715199645,35.05031438686379,0,0,0,0,True,True,True,True
125,person125,1.0,-85.28297587246725,35.01438849287799,-85.27875882404072,35.045163273557456,0,0,0,0,True,True,True,True
126,person126,1.0,-85.2837722341856,35.01449049198866,-85.29000229163964,35.04889072220864,0,0,0,0,True,True,True,True
127,person127,1.0,-85.28384637873503,35.01497020708865,-85.30860615831031,35.03621522026157,0,0,0,0,True,True,True,True
128,person128,1.0,-85.27816931499245,34.99692611690579,-85.29425180757198,35.022143456427344,0,0,0,0,True,True,True,True
129,person129,1.0,-85.28492965383604,35.015144353276376,-85.3126398928892,35.034313663485236,0,0,0,0,True,True,True,True
130,person130,1.0,-85.28512931160708,35.01555014661225,-85.31033129430183,35.034908166387154,0,0,0,0,True,True,True,True
131,person131,1.0,-85.2838300043423,35.015890914283204,-85.30939880847707,35.036869011056524,0,0,0,0,True,True,True,True
132,person132,1.0,-85.27994460568388,34.992894704056916,-85.28993364047578,35.048606508315935,0,0,0,0,True,True,True,True
133,person133,1.0,-85.28450728712755,35.014762110859266,-85.28698581037717,35.04925354910912,0,0,0,0,True,True,True,True
134,person134,1.0,-85.2814924730619,35.00520754613425,-85.311872879303,35.036067712608244,0,0,0,0,True,True,True,True
135,person135,1.0,-85.28799588808263,34.997798763236595,-85.27772288445051,35.049367693954615,0,0,0,0,True,True,True,True
136,person136,1.0,-85.28508263498563,35.015046585883326,-85.28961461617853,35.048662251872344,0,0,0,0,True,True,True,True
137,person137,1.0,-85.3117694206202,35.0059918643159,-85.28680481252417,35.0481890581745,0,0,0,0,True,True,True,True
138,person138,1.0,-85.28793159770792,34.99760572006871,-85.31436594886489,35.035743768197165,0,0,0,0,True,True,True,True
139,person139,1.0,-85.28486238865811,35.0161366467395,-85.30477040153698,35.054203021081875,0,0,0,0,True,True,True,True
140,person140,1.0,-85.28506158084613,35.01570252450434,-85.30827367055025,35.03458749718799,0,0,0,0,True,True,True,True
141,person141,1.0,-85.27742853256811,34.997459332802876,-85.31177556849644,35.0359566290517,0,0,0,0,True,True,True,True
142,person142,1.0,-85.29225816903954,34.99187999910805,-85.30342272902892,35.03472393043406,0,0,0,0,True,True,True,True
143,person143,1.0,-85.28809732143034,34.99883381068626,-85.30802232279963,35.036644526144585,0,0,0,0,True,True,True,True
144,person144,1.0,-85.29597658444757,35.00369751243724,-85.31694409123496,35.03696371880767,0,0,0,0,True,True,True,True
145,person145,1.0,-85.3091067765999,35.006000056335516,-85.28955202829897,35.049144978870714,0,0,0,0,True,True,True,True
146,person146,1.0,-85.29648428350171,34.98897787565829,-85.28329340274671,34.997410237395904,0,0,0,0,True,True,True,True
147,person147,1.0,-85.27752843368268,34.99774134323637,-85.31788055150568,35.03742379696526,0,0,0,0,True,True,True,True
148,person148,1.0,-85.31051172823102,35.03423783873311,-85.29118813672767,34.995431855225746,0,0,0,0,True,True,True,True
149,person149,1.0,-85.28578815134522,34.989457009225376,-85.3086344032196,35.03049603700292,0,0,0,0,True,True,True,True
150,person150,1.0,-85.28015074724507,35.000767098637965,-85.29026549167567,35.04909034512524,0,0,0,0,True,True,True,True
151,person151,1.0,-85.31211320437322,35.00590148075222,-85.28708470505181,35.04798349354614,0,0,0,0,True,True,True,True
152,person152,1.0,-85.29370302498629,34.99938878209592,-85.31165092384832,35.03550218960805,0,0,0,0,True,True,True,True
153,person153,1.0,-85.3109854041783,35.00788129161347,-85.28680187263494,35.04659231699517,0,0,0,0,True,True,True,True
154,person154,1.0,-85.2783592268641,34.99602311441081,-85.31466375842196,35.03322907674973,0,0,0,0,True,True,True,True
155,person155,1.0,-85.31119964727166,35.00583145283348,-85.28962585551602,35.048662844028,0,0,0,0,True,True,True,True
156,person156,1.0,-85.2839807482809,35.01580195405653,-85.29105387180616,35.05089041421098,0,0,0,0,True,True,True,True
157,person157,1.0,-85.28372248542334,35.01385861518633,-85.27862566006232,35.045180279099,0,0,0,0,True,True,True,True
158,person158,1.0,-85.28440205583436,35.01513025257562,-85.28101310046802,35.00760622381359,0,0,0,0,True,True,True,True
159,person159,1.0,-85.284008113079,35.01546048818282,-85.27794308831928,35.04458107325072,0,0,0,0,True,True,True,True
160,person160,1.0,-85.28395299976549,35.01601011478402,-85.29080876679835,35.050979984635966,0,0,0,0,True,True,True,True
161,person161,1.0,-85.28451777819751,35.0151644167872,-85.28103848587175,35.008110211215076,0,0,0,0,True,True,True,True
162,person162,1.0,-85.28749896436051,34.99718714145919,-85.29143684523889,34.993649481974145,0,0,0,0,True,True,True,True
163,person163,1.0,-85.2883158545844,34.997372513999,-85.30384558674895,35.03310818351448,0,0,0,0,True,True,True,True
164,person164,1.0,-85.28795759806056,34.99778379789782,-85.30431582680504,35.03480984312579,0,0,0,0,True,True,True,True
165,person165,1.0,-85.27912055421842,34.99558802036045,-85.3079895659281,35.03006884335959,0,0,0,0,True,True,True,True
166,person166,1.0,-85.31166083533668,35.0060096662804,-85.2909235718904,35.01074808874233,0,0,0,0,True,True,True,True
167,person167,1.0,-85.28781152049997,34.997972548626144,-85.31080731519293,35.03706325305658,0,0,0,0,True,True,True,True
168,person168,1.0,-85.28523393987787,35.015483448978095,-85.29279389886071,35.003251281073055,0,0,0,0,True,True,True,True
169,person169,1.0,-85.27883372753806,35.00243234781867,-85.29438993936223,35.0153255050288,0,0,0,0,True,True,True,True
170,person170,1.0,-85.27727234372828,34.99841947349434,-85.30640356076556,35.02909336791512,0,0,0,0,True,True,True,True
171,person171,1.0,-85.27930556092397,35.00085725360608,-85.27963561854804,35.04441928219359,0,0,0,0,True,True,True,True
172,person172,1.0,-85.28740583382164,34.99792728794815,-85.28767794313056,34.98548470799085,0,0,0,0,True,True,True,True
173,person173,1.0,-85.28398282483839,35.014697887008516,-85.28970514434593,35.04873950023773,0,0,0,0,True,True,True,True
174,person174,1.0,-85.29870260791938,35.00605811268001,-85.31761746145557,35.034702222104855,0,0,0,0,True,True,True,True
175,person175,1.0,-85.28398372809262,35.01521111678801,-85.28071399911694,35.007932888497706,0,0,0,0,True,True,True,True
176,person176,1.0,-85.27824980405312,34.99831553627315,-85.31638693287218,35.03289456213879,0,0,0,0,True,True,True,True
177,person177,1.0,-85.28842146355795,34.995867342195815,-85.27905610006177,34.998779717981485,0,0,0,0,True,True,True,True
178,person178,1.0,-85.28485766758784,35.01550941193742,-85.30955197448286,35.043240522559444,0,0,0,0,True,True,True,True
179,person179,1.0,-85.29207159634151,34.992468430679565,-85.2942180329516,35.015350741513785,0,0,0,0,True,True,True,True
180,person180,1.0,-85.28218826933154,35.00572031019121,-85.29029334598803,35.04905316343449,0,0,0,0,True,True,True,True
181,person181,1.0,-85.28107900257865,34.99253160394826,-85.28055276806468,35.04433573151023,0,0,0,0,True,True,True,True
182,person182,1.0,-85.30882778505128,35.00525175335806,-85.29077662580927,35.04709446862774,0,0,0,0,True,True,True,True
183,person183,1.0,-85.28358160037425,35.01421696559293,-85.308966311805,35.0362448340571,0,0,0,0,True,True,True,True
184,person184,1.0,-85.28446185962491,35.01514167716666,-85.2876994785603,35.04960584980863,0,0,0,0,True,True,True,True
185,person185,1.0,-85.31163897823626,35.007230134308855,-85.29147548358651,35.04739800378332,0,0,0,0,True,True,True,True
186,person186,1.0,-85.28707494462962,34.99803703679352,-85.31147408354484,35.03571857922704,0,0,0,0,True,True,True,True
187,person187,1.0,-85.28708368989271,34.99803809648651,-85.28976454801784,35.04899548348709,0,0,0,0,True,True,True,True
188,person188,1.0,-85.2839610290209,35.014558290671125,-85.3138640704969,35.03325356253092,0,0,0,0,True,True,True,True
189,person189,1.0,-85.28799462893667,34.99844908305905,-85.28526877291914,35.03032698353174,0,0,0,0,True,True,True,True
190,person190,1.0,-85.28706226545512,34.98929590016982,-85.31866986670802,35.03795278011672,0,0,0,0,True,True,True,True
191,person191,1.0,-85.29504442448312,35.008416040286306,-85.31173542375275,35.0358108146987,0,0,0,0,True,True,True,True
192,person192,1.0,-85.2905641835151,34.98875841317954,-85.28991143668563,35.04868075394289,0,0,0,0,True,True,True,True
193,person193,1.0,-85.2882483523137,34.99849992674371,-85.28521614707174,35.02999765683705,0,0,0,0,True,True,True,True
194,person194,1.0,-85.28905688030672,34.99591546900008,-85.30914675835493,35.03251125877932,0,0,0,0,True,True,True,True
195,person195,1.0,-85.29875731407162,35.00400605872555,-85.28691738222142,35.04648559358196,0,0,0,0,True,True,True,True
196,person196,1.0,-85.28479686474691,35.01532036957501,-85.30838193799521,35.03376165072408,0,0,0,0,True,True,True,True
197,person197,1.0,-85.28868308861044,34.9955892151512,-85.29434779972257,35.012295449438206,0,0,0,0,True,True,True,True
198,person198,1.0,-85.2876460823929,34.997324865783824,-85.30492811880522,35.03436354488593,0,0,0,0,True,True,True,True
199,person199,1.0,-85.28435565612341,35.015793966120384,-85.30644433178675,35.02899874173116,0,0,0,0,True,True,True,True
200,person200,1.0,-85.28944959898327,34.995258315477415,-85.3147087409462,35.03216218413836,0,0,0,0,True,True,True,True
201,person201,1.0,-85.28393292659078,35.0138020419781,-85.31188837949011,35.03615732605922,0,0,0,0,True,True,True,True
202,person202,1.0,-85.28359750975501,35.01467241472162,-85.28871013485451,35.029377829019765,0,0,0,0,True,True,True,True
203,person203,1.0,-85.2817854010674,34.9903663902734,-85.2816745348748,35.000638534011,0,0,0,0,True,True,True,True
204,person204,1.0,-85.29841070138791,35.004640388483566,-85.31637299267958,35.03367575717721,0,0,0,0,True,True,True,True
205,person205,1.0,-85.2846407567,35.01555996464266,-85.28996671320456,35.0483994576411,0,0,0,0,True,True,True,True
206,person206,1.0,-85.2829481708465,35.00542350960221,-85.30594959817115,35.03550912059528,0,0,0,0,True,True,True,True
207,person207,1.0,-85.28459781451754,35.0147777488815,-85.28300721833911,35.05553875592319,0,0,0,0,True,True,True,True
208,person208,1.0,-85.29863420176099,35.0044082728542,-85.31694002563695,35.03294720094646,0,0,0,0,True,True,True,True
209,person209,1.0,-85.28302117874482,35.014456782603844,-85.2897540005533,35.04861896216738,0,0,0,0,True,True,True,True
210,person210,1.0,-85.28479064839199,35.01494217540726,-85.3129511945218,35.03408096540209,0,0,0,0,True,True,True,True
211,person211,1.0,-85.29473179268957,35.0134387473163,-85.29084198271876,35.048034854915336,0,0,0,0,True,True,True,True
212,person212,1.0,-85.2852519595727,35.01533956378009,-85.28956531648946,35.04892920215958,0,0,0,0,True,True,True,True
213,person213,1.0,-85.2787531071887,34.99477488803268,-85.28318917720026,34.99740354982963,0,0,0,0,True,True,True,True
214,person214,1.0,-85.31174003529364,35.007376076745025,-85.30579220621698,35.03518663695664,0,0,0,0,True,True,True,True
215,person215,1.0,-85.28486648802148,35.0156786110593,-85.30990828384904,35.03473337375802,0,0,0,0,True,True,True,True
216,person216,1.0,-85.28790129875424,34.99877881844023,-85.30284435634795,35.034001141171935,0,0,0,0,True,True,True,True
217,person217,1.0,-85.28416255720015,35.01497224959762,-85.2780320095681,35.044098447658605,0,0,0,0,True,True,True,True
218,person218,1.0,-85.28808379266364,34.99757727160525,-85.30777613369095,35.03528495532651,0,0,0,0,True,True,True,True
219,person219,1.0,-85.28280854437678,35.01381550576376,-85.31679432704325,35.03753912438248,0,0,0,0,True,True,True,True
220,person220,1.0,-85.29429405555142,35.00871427415539,-85.31326119820754,35.03421189765698,0,0,0,0,True,True,True,True
221,person221,1.0,-85.28769599223554,34.99815594134481,-85.31202434609224,35.035179978085495,0,0,0,0,True,True,True,True
222,person222,1.0,-85.2881267390874,34.98977877908937,-85.30872114142218,35.0361716625197,0,0,0,0,True,True,True,True
223,person223,1.0,-85.2831871784239,35.01358605250008,-85.30586841918587,35.028869011427446,0,0,0,0,True,True,True,True
224,person224,1.0,-85.28457692463674,35.01528863880789,-85.288867993423,34.98541221752932,0,0,0,0,True,True,True,True
225,person225,1.0,-85.29174090588506,34.99248375740718,-85.28954139635859,35.0489668545172,0,0,0,0,True,True,True,True
226,person226,1.0,-85.28721448785126,34.99816246838958,-85.3118228716892,35.03601365465381,0,0,0,0,True,True,True,True
227,person227,1.0,-85.28806341134647,34.997525063891985,-85.30443219970469,35.0341193836831,0,0,0,0,True,True,True,True
228,person228,1.0,-85.30920494153405,35.005729050638976,-85.28946588674518,35.048999718314384,0,0,0,0,True,True,True,True
229,person229,1.0,-85.28840061726886,34.99880520532275,-85.28360744759571,34.997201942425825,0,0,0,0,True,True,True,True
230,person230,1.0,-85.28492628671519,35.016184122149596,-85.3149066527231,35.03551993401783,0,0,0,0,True,True,True,True
231,person231,1.0,-85.28848125682775,34.99698558700792,-85.29530828125206,35.0130648564761,0,0,0,0,True,True,True,True
232,person232,1.0,-85.30992425870546,35.00575457423213,-85.28959325680815,35.048358835319625,0,0,0,0,True,True,True,True
233,person233,1.0,-85.28386712112302,35.01578191095992,-85.29081041784234,35.050452187392466,0,0,0,0,True,True,True,True
